"Name";"Vorname";"GebDat";"Geschlecht";"Fachkrz";"Kursart";"Note";"Kl1";"Kl2";"KLG";"SoMi1";"SoMi2";"SomiG";"Fehl1";"Fehl2";"uFehl1";"uFehl2";"FehlStd";"UFehlStd";"Facharbeit";"Facharbeitsthema";"Kurs";"Mahnung"
"Albertsen";"Benjamin";"14.06.2007";3;"GE";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"GE-GK2";0
"Albertsen";"Benjamin";"14.06.2007";3;"KU";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"KU-GK2";0
"Albertsen";"Benjamin";"14.06.2007";3;"D";"AB3";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"D-GK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"KR";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"KR-GK2";0
"Albertsen";"Benjamin";"14.06.2007";3;"PH";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"PH-GK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"IF";"LK2";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"IF-LK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"M";"LK1";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"M-LK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"SW";"AB4";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SW-GK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"L";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"L-GK1";0
"Albertsen";"Benjamin";"14.06.2007";3;"E";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"E-GK2";0
"Albertsen";"Benjamin";"14.06.2007";3;"SP";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SP-GK4";0
"Altmann";"Vanessa";"08.04.2007";4;"F";"AB3";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"F-GK1";0
"Altmann";"Vanessa";"08.04.2007";4;"SW";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SW-GK3";0
"Altmann";"Vanessa";"08.04.2007";4;"M";"AB4";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"M-GK4";0
"Altmann";"Vanessa";"08.04.2007";4;"SP";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SP-GK2";0
"Altmann";"Vanessa";"08.04.2007";4;"BI";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"BI-GK3";0
"Altmann";"Vanessa";"08.04.2007";4;"MU";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"MU-GK2";0
"Altmann";"Vanessa";"08.04.2007";4;"KR";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"KR-GK1";0
"Altmann";"Vanessa";"08.04.2007";4;"S1";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"S1-GK1";0
"Altmann";"Vanessa";"08.04.2007";4;"PA";"LK2";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"PA-LK1";0
"Altmann";"Vanessa";"08.04.2007";4;"D";"LK1";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"D-LK1";0
"Andreae";"Thomas";"23.03.2007";3;"M";"AB3";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"M-GK3";0
"Andreae";"Thomas";"23.03.2007";3;"KR";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"KR-GK2";0
"Andreae";"Thomas";"23.03.2007";3;"D";"AB4";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"D-GK3";0
"Andreae";"Thomas";"23.03.2007";3;"PH";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"PH-GK1";0
"Andreae";"Thomas";"23.03.2007";3;"BI";"LK1";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"BI-LK1";0
"Andreae";"Thomas";"23.03.2007";3;"SP";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SP-GK4";0
"Andreae";"Thomas";"23.03.2007";3;"E";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"E-GK2";0
"Andreae";"Thomas";"23.03.2007";3;"SW";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SW-GK3";0
"Andreae";"Thomas";"23.03.2007";3;"EK";"LK2";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"EK-LK2";0
"Andreae";"Thomas";"23.03.2007";3;"MU";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"MU-GK1";0
"Ayelkes";"Matthias";"02.10.2007";3;"M";"LK1";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"M-LK2";0
"Ayelkes";"Matthias";"02.10.2007";3;"MU";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"MU-GK2";0
"Ayelkes";"Matthias";"02.10.2007";3;"SP";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SP-GK5";0
"Ayelkes";"Matthias";"02.10.2007";3;"D";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"D-GK1";0
"Ayelkes";"Matthias";"02.10.2007";3;"L";"AB4";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"L-GK1";0
"Ayelkes";"Matthias";"02.10.2007";3;"GE";"LK2";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"GE-LK1";0
"Ayelkes";"Matthias";"02.10.2007";3;"KR";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"KR-GK2";0
"Ayelkes";"Matthias";"02.10.2007";3;"PH";"GKM";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"PH-GK2";0
"Ayelkes";"Matthias";"02.10.2007";3;"EK";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"EK-GK1";0
"Ayelkes";"Matthias";"02.10.2007";3;"E";"GKS";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"E-GK2";0
"Ayelkes";"Matthias";"02.10.2007";3;"SW";"AB3";"08";17;17;17;17;17;17;0;0;0;0;0;0;0;"";"SW-GK2";0
